Date,SPOT
2019-12-16,150.77999877929688
2019-12-17,151.52999877929688
2019-12-18,150.8699951171875
2019-12-19,149.67999267578125
2019-12-20,150.30999755859375
2019-12-23,150.4199981689453
2019-12-24,151.82000732421875
2019-12-26,152.52000427246094
2019-12-27,153.1699981689453
2019-12-30,149.80999755859375
2019-12-31,149.5500030517578
2020-01-02,151.6199951171875
2020-01-03,152.5
2020-01-06,156.72000122070312
2020-01-07,156.02000427246094
2020-01-08,158.77999877929688
2020-01-09,157.74000549316406
2020-01-10,156.0399932861328
2020-01-13,150.8699951171875
2020-01-14,149.39999389648438
2020-01-15,152.4499969482422
2020-01-16,151.83999633789062
2020-01-17,148.33999633789062
2020-01-21,148.9499969482422
2020-01-22,148.1199951171875
2020-01-23,148.97000122070312
2020-01-24,146.6300048828125
2020-01-27,144.33999633789062
2020-01-28,144.3000030517578
2020-01-29,141.57000732421875
2020-01-30,142.7100067138672
2020-01-31,141.3000030517578
2020-02-03,146.5
2020-02-04,154.30999755859375
2020-02-05,147.0
2020-02-06,154.3699951171875
2020-02-07,154.5500030517578
2020-02-10,148.3300018310547
2020-02-11,145.77000427246094
2020-02-12,147.0800018310547
2020-02-13,141.5
2020-02-14,141.0
2020-02-18,144.6300048828125
2020-02-19,143.36000061035156
2020-02-20,147.86000061035156
2020-02-21,146.9499969482422
2020-02-24,145.3300018310547
2020-02-25,141.8000030517578
2020-02-26,140.49000549316406
2020-02-27,134.50999450683594
2020-02-28,137.1199951171875
2020-03-02,139.33999633789062
2020-03-03,137.16000366210938
2020-03-04,144.25
2020-03-05,148.0800018310547
2020-03-06,145.13999938964844
2020-03-09,139.77999877929688
2020-03-10,141.89999389648438
2020-03-11,135.05999755859375
2020-03-12,126.98999786376953
2020-03-13,131.55999755859375
2020-03-16,117.63999938964844
2020-03-17,118.87000274658203
2020-03-18,121.23999786376953
2020-03-19,129.1300048828125
2020-03-20,124.36000061035156
2020-03-23,118.18000030517578
2020-03-24,129.69000244140625
2020-03-25,124.2300033569336
2020-03-26,126.80999755859375
2020-03-27,122.54000091552734
2020-03-30,121.43000030517578
2020-03-31,121.44000244140625
2020-04-01,121.61000061035156
2020-04-02,121.91000366210938
2020-04-03,122.12000274658203
2020-04-06,122.5199966430664
2020-04-07,127.61000061035156
2020-04-08,126.04000091552734
2020-04-09,131.86000061035156
2020-04-13,129.8300018310547
2020-04-14,135.92999267578125
2020-04-15,138.77999877929688
2020-04-16,139.49000549316406
2020-04-17,141.86000061035156
2020-04-20,144.5399932861328
2020-04-21,139.13999938964844
2020-04-22,139.74000549316406
2020-04-23,138.7100067138672
2020-04-24,137.83999633789062
2020-04-27,140.25
2020-04-28,139.77999877929688
2020-04-29,155.77999877929688
2020-04-30,151.57000732421875
2020-05-01,144.83999633789062
2020-05-04,145.30999755859375
2020-05-05,145.02000427246094
2020-05-06,148.47999572753906
2020-05-07,148.0399932861328
2020-05-08,152.14999389648438
2020-05-11,156.02000427246094
2020-05-12,153.94000244140625
2020-05-13,148.97999572753906
2020-05-14,152.07000732421875
2020-05-15,158.8300018310547
2020-05-18,161.42999267578125
2020-05-19,175.02999877929688
2020-05-20,189.8000030517578
2020-05-21,192.74000549316406
2020-05-22,190.1699981689453
2020-05-26,191.0
2020-05-27,185.9499969482422
2020-05-28,177.22000122070312
2020-05-29,180.92999267578125
2020-06-01,182.7100067138672
2020-06-02,189.36000061035156
2020-06-03,184.6300048828125
2020-06-04,181.83999633789062
2020-06-05,184.27999877929688
2020-06-08,187.3000030517578
2020-06-09,191.30999755859375
2020-06-10,189.39999389648438
2020-06-11,178.67999267578125
2020-06-12,180.07000732421875
2020-06-15,187.8800048828125
2020-06-16,185.47999572753906
2020-06-17,199.8300018310547
2020-06-18,225.27999877929688
2020-06-19,231.2899932861328
2020-06-22,236.05999755859375
2020-06-23,241.75999450683594
2020-06-24,242.86000061035156
2020-06-25,267.4700012207031
2020-06-26,264.95001220703125
2020-06-29,265.1400146484375
2020-06-30,258.19000244140625
2020-07-01,258.8999938964844
2020-07-02,271.489990234375
2020-07-06,260.260009765625
2020-07-07,261.989990234375
2020-07-08,269.260009765625
2020-07-09,274.7900085449219
2020-07-10,278.239990234375
2020-07-13,261.19000244140625
2020-07-14,262.79998779296875
2020-07-15,258.5
2020-07-16,268.67999267578125
2020-07-17,263.2300109863281
2020-07-20,291.19000244140625
2020-07-21,276.3800048828125
2020-07-22,289.6199951171875
2020-07-23,267.5400085449219
2020-07-24,268.739990234375
2020-07-27,272.5
2020-07-28,267.1199951171875
2020-07-29,262.2099914550781
2020-07-30,261.7900085449219
2020-07-31,257.82000732421875
2020-08-03,254.42999267578125
2020-08-04,250.02000427246094
2020-08-05,249.25
2020-08-06,255.32000732421875
2020-08-07,252.1199951171875
2020-08-10,248.99000549316406
2020-08-11,253.72000122070312
2020-08-12,253.2899932861328
2020-08-13,253.66000366210938
2020-08-14,251.32000732421875
2020-08-17,259.9100036621094
2020-08-18,256.79998779296875
2020-08-19,261.7200012207031
2020-08-20,269.3299865722656
2020-08-21,270.9800109863281
2020-08-24,269.1300048828125
2020-08-25,268.69000244140625
2020-08-26,278.2900085449219
2020-08-27,272.010009765625
2020-08-28,279.3599853515625
2020-08-31,282.1600036621094
2020-09-01,291.75
2020-09-02,276.2900085449219
2020-09-03,261.6600036621094
2020-09-04,248.2100067138672
2020-09-08,240.02000427246094
2020-09-09,244.92999267578125
2020-09-10,247.77999877929688
2020-09-11,241.60000610351562
2020-09-14,238.5500030517578
2020-09-15,237.91000366210938
